tour,player,elo,matches,last_date
WTA,Wozuko Mdlulwa,1410.13,99,2026-04-13
WTA,Amanda Carolina Nava Elkin,1330.08,99,2026-03-02
WTA,Lauren Davis,1744.17,98,2025-08-25
ATP,Thomas Fabbiano,1682.7,98,2022-02-28
ATP,Pedro Rodenas,1655.1,98,2025-11-17
ATP,Andrey Kuznetsov,1652.32,98,2024-03-11
WTA,Danielle Lao,1652.0,98,2023-01-30
ATP,Antoine Cornut Chauvinc,1649.0,98,2025-05-05
WTA,Ruirui Zou,1596.52,98,2026-05-04
ATP,Nicolas Jadoun,1590.03,98,2025-04-21
WTA,Irem Kurt,1583.54,98,2026-03-10
ATP,Pawit Sornlaksup,1576.48,98,2026-04-13
WTA,Lexington Reed,1571.76,98,2025-12-01
WTA,Jamilah Snells,1543.01,98,2026-05-18
WTA,Elena Karner,1532.37,98,2024-12-16
ATP,Matt Hulme,1528.22,98,2026-02-09
ATP,Thomas Braithwaite,1508.28,98,2025-07-28
WTA,Liel Marlies Rothensteiner,1492.67,98,2026-05-18
ATP,Nathan Seateun,1457.22,98,2024-01-22
WTA,Britney Chiu,1452.71,98,2024-09-16
WTA,Ilaria Sposetti,1424.55,98,2024-07-08
ATP,Ivan Liutarevich,1408.61,98,2025-11-17
WTA,Lilli Tagger,1988.29,97,2026-05-05
WTA,Alicia Dudeney,1945.48,97,2026-05-18
WTA,Riko Sawayanagi,1646.15,97,2023-01-02
WTA,Jana Stojanova,1590.74,97,2024-11-04
ATP,Cengiz Aksu,1556.17,97,2024-09-02
WTA,Zdena Safarova,1541.89,97,2026-06-01
WTA,Zhuoma Ni Ma,1531.28,97,2025-09-01
ATP,Filippo Speziali,1521.94,97,2025-07-21
WTA,Sara Milanese,1517.43,97,2026-05-18
ATP,Luca Fantini,1466.56,97,2024-06-10
ATP,Chirag Duhan,1459.77,97,2025-02-10
ATP,Roy Smith,1443.14,97,2023-01-30
WTA,Anna Lena Ebster,1417.13,97,2026-05-11
WTA,Arina Solomatina,1389.96,97,2024-03-04
WTA,Mija Ljubic,1146.46,97,2024-12-16
WTA,Bernarda Pera,1894.25,96,2026-01-19
WTA,Rada Zolotareva,1858.77,96,2026-04-27
WTA,Britt Du Pree,1825.03,96,2026-05-18
WTA,Matilde Paoletti,1768.74,96,2026-05-18
WTA,Vittoria Paganetti,1717.5,96,2026-05-25
ATP,Filippo Moroni,1679.53,96,2025-11-17
ATP,Abel Forger,1632.63,96,2025-07-14
WTA,Anastasiia Firman,1628.11,96,2026-05-11
ATP,Adrian Menendez Maceiras,1600.65,96,2023-07-17
ATP,Rimpei Kawakami,1573.11,96,2023-03-19
ATP,Jakub Filip,1546.27,96,2025-06-02
ATP,Teymuraz Gabashvili,1530.37,96,2021-09-20
WTA,Johana Markova,1525.29,96,2022-10-10
ATP,Collin Altamirano,1483.99,96,2024-10-14
WTA,Maya Drozd,1463.62,96,2025-10-27
WTA,Selya Rakki,1420.36,96,2025-12-29
ATP,Ezequiel Monferrer,1413.23,96,2026-04-13
WTA,Anastasija Radojevic,1376.25,96,2024-12-02
WTA,Rebecca Peterson,1787.41,95,2026-05-11
ATP,Mika Petkovic,1724.01,95,2026-06-01
ATP,Igor Kudriashov,1666.27,95,2026-05-04
WTA,Kristina Kucova,1650.92,95,2023-04-24
ATP,Theo Papamalamis,1601.95,95,2026-05-25
ATP,Ignacio Parisca,1586.6,95,2025-10-06
ATP,Bruno Fernandez,1577.55,95,2026-05-11
WTA,Yi Tsen Cho,1574.82,95,2024-10-28
WTA,Na Dong,1559.78,95,2024-04-15
WTA,Chiara Catini,1550.94,95,2023-03-13
WTA,Pia Praefke,1542.29,95,2025-11-03
WTA,Salma Ewing,1541.58,95,2026-05-25
WTA,Mika Dagan Fruchtman,1520.95,95,2023-05-29
ATP,Ewen Lumsden,1512.66,95,2025-02-17
ATP,Matteo Viola,1494.08,95,2022-02-21
ATP,Benjamin Thomas George,1479.38,95,2026-03-23
ATP,Pol Toledo Bague,1471.13,95,2022-02-28
ATP,Bogdan Ionut Apostol,1460.21,95,2022-03-21
WTA,Alana Tuayeva,1458.92,95,2025-07-07
ATP,Aliaksandr Liaonenka,1454.08,95,2023-07-24
WTA,Natalia Sousa Salazar,1430.31,95,2026-05-25
ATP,Sarp Agabigun,1421.69,95,2024-09-02
ATP,Pablo Trochu,1421.63,95,2025-09-08
WTA,Sofiia Nagornaia,1411.9,95,2026-04-20
ATP,Noah Perfetti,1403.41,95,2026-05-25
ATP,Nicolas Buitrago,1311.59,95,2025-11-24
WTA,Lesia Tsurenko,1983.37,94,2024-10-07
ATP,Yoshihito Nishioka,1854.2,94,2026-01-05
WTA,Edda Mamedova,1726.82,94,2026-05-25
WTA,Eleejah Inisan,1664.13,94,2026-04-27
WTA,Anna Snigireva,1651.18,94,2026-05-11
ATP,Darian King,1642.65,94,2025-10-06
WTA,Victoria Osuigwe,1583.53,94,2026-05-25
WTA,Lya Fernandez,1580.37,94,2026-05-18
ATP,Alejandro Turriziani Alvarez,1576.42,94,2025-09-01
WTA,Tilde Stromquist,1551.11,94,2025-03-17
ATP,Yannik Kelm,1543.45,94,2026-04-27
ATP,Lorenzo Claverie,1526.74,94,2024-09-16
ATP,Cristian Rodriguez,1526.34,94,2026-04-06
ATP,Jan Kupcic,1496.62,94,2026-06-01
WTA,Laquisa Khan,1465.95,94,2026-01-12
WTA,Claudia Sofia Martinez Solis,1430.41,94,2026-03-09
ATP,Dax Donders,1429.06,94,2025-07-14
ATP,Federico Zeballos,1402.61,94,2026-03-30
WTA,Emily Webley Smith,1377.52,94,2026-02-01
WTA,Alisa Yakimakho,1240.91,94,2025-10-27
WTA,Lucciana Perez Alarcon,1876.99,93,2025-12-08
ATP,Alexei Popyrin,1830.21,93,2026-01-27
WTA,Maryna Zanevska,1771.05,93,2023-02-20
WTA,Luksika Kumkhum,1768.77,93,2024-04-22
ATP,Felix Balshaw,1766.62,93,2026-04-28
WTA,Dasha Plekhanova,1740.77,93,2026-06-01
WTA,Lucia Peyre,1707.4,93,2026-01-12
WTA,Loes Ebeling Koning,1634.41,93,2026-05-18
ATP,Matija Pecotic,1616.1,93,2024-06-03
WTA,Nikola Breckova,1592.19,93,2025-10-27
WTA,Cherry Kim,1585.69,93,2026-05-25
ATP,Trey Hilderbrand,1577.98,93,2026-04-27
WTA,Alian Zack,1559.76,93,2024-09-16
WTA,Jizel Matos Sequeira Fernandes,1551.26,93,2025-12-22
ATP,Luca Staeheli,1539.59,93,2026-04-27
ATP,Ryan Fishback,1520.93,93,2026-02-16
WTA,Noa Liauw A Fong,1516.63,93,2024-07-01
ATP,Bastian Malla,1499.46,93,2026-03-09
ATP,Karim Mohamed Maamoun,1457.76,93,2025-06-16
WTA,Ida Johansson,1454.57,93,2026-05-04
WTA,Melissa Boyden,1444.37,93,2026-06-01
WTA,Vivien Sandberg,1370.87,93,2026-03-16
ATP,Matas Vasiliauskas,1295.52,93,2025-08-11
WTA,Ximena Senties,1256.82,93,2026-03-02
ATP,Brandon Perez,1233.6,93,2026-05-04
WTA,Nina Stojanovic,1954.11,92,2025-07-21
ATP,Soon Woo Kwon,1911.64,92,2026-05-04
WTA,Kristina Kroitor,1848.08,92,2026-05-25
WTA,Mayu Crossley,1781.81,92,2026-06-01
ATP,Braden Shick,1709.53,92,2026-06-01
WTA,Eva Maria Ionescu,1683.63,92,2026-04-20
WTA,Anastasia Bertacchi,1670.34,92,2026-05-25
WTA,Martina Marusinova,1626.35,92,2024-03-18
WTA,Akvile Parazinskaite,1616.5,92,2022-05-23
ATP,James Watt,1611.78,92,2026-06-01
WTA,Uladzislava Zverava,1604.23,92,2025-10-06
ATP,Pietro Orlando Fellin,1596.62,92,2026-05-11
ATP,Brayden Schnur,1568.31,92,2023-09-18
WTA,Anna Danilina,1566.33,92,2025-08-17
WTA,Margot Yerolymos,1543.83,92,2022-04-04
WTA,Stefania Rubini,1521.34,92,2023-01-16
WTA,Phillippa Preugschat,1481.12,92,2026-03-23
ATP,Francesco Ferrari,1464.31,92,2025-05-05
WTA,Evelyne Christelle Atticia Tiron,1461.69,92,2025-07-21
WTA,Teja Tirunelveli,1411.77,92,2025-07-07
WTA,Pooja Ingale,1409.7,92,2026-05-04
ATP,Marton Fucsovics,1937.3,91,2025-04-27
ATP,Ognjen Milic,1799.31,91,2026-05-18
ATP,Miguel Tobon,1697.56,91,2026-06-01
WTA,Lucie Pawlak,1631.71,91,2025-11-24
ATP,Tobias Kamke,1613.88,91,2022-02-28
ATP,Khololwam Montsi,1598.88,91,2026-06-01
WTA,Paula Cembranos,1594.5,91,2026-05-18
ATP,Ozan Baris,1553.92,91,2025-11-10
WTA,Marente Sijbesma,1549.71,91,2026-04-27
ATP,Elgin Khoeblal,1538.97,91,2022-07-11
WTA,Nikola Daubnerova,1513.51,91,2026-05-25
ATP,Iannis Miletich,1507.23,91,2025-09-16
WTA,Claudia Gasparovic,1494.01,91,2026-05-18
WTA,Laura Radakovic,1486.6,91,2026-06-01
ATP,Aoran Wang,1469.21,91,2026-05-04
WTA,Marianna Zakarlyuk,1463.95,91,2024-08-05
WTA,Barbora Michalkova,1463.7,91,2026-05-25
WTA,Michelle Dzjachangirova,1462.44,91,2025-06-02
WTA,Sowjanya Bavisetti,1431.02,91,2024-02-26
ATP,Calum Puttergill,1428.22,91,2024-10-07
WTA,Sravya Shivani Chilakalapudi,1427.8,91,2026-01-05
ATP,Abhinav Sanjeev Shanmugam,1374.18,91,2026-05-18
ATP,Pavlos Tsitsipas,1369.8,91,2026-05-04
WTA,Elizabeth Jurna,1322.98,91,2026-05-18
WTA,Laura Siegemund,1933.02,90,2026-01-12
ATP,Daniel Vallejo,1822.43,90,2025-09-15
WTA,Noemi Basiletti,1781.31,90,2026-05-05
ATP,Pedro Sousa,1734.37,90,2023-04-17
WTA,Maria Aran Teixido Garcia,1717.43,90,2026-05-18
WTA,Anamaria Federica Oana,1677.66,90,2026-06-01
WTA,Valeria Bhunu,1671.87,90,2025-12-01
WTA,Eri Hozumi,1648.57,90,2025-08-07
ATP,Raphael Perot,1636.87,90,2026-06-01
ATP,Cooper Williams,1635.99,90,2025-11-03
WTA,Yujia Huang,1625.12,90,2026-04-27
WTA,Esther Lopez Alcaraz,1575.39,90,2026-05-25
ATP,Petros Chrysochos,1573.12,90,2021-08-16
ATP,Michel Hopp,1562.08,90,2026-06-01
ATP,Arnaud Bovy,1535.23,90,2022-04-25
WTA,Nadiya Kolb,1534.11,90,2025-10-27
ATP,Donald Young,1528.56,90,2023-08-07
WTA,Karolina Mrazikova,1526.64,90,2026-06-01
ATP,Daniel Bagnolini,1473.59,90,2026-05-25
ATP,Stefan Vujic,1461.16,90,2026-06-01
WTA,Maria Victoria Marchesini,1454.91,90,2025-11-03
ATP,Sam Ryan Ziegann,1454.32,90,2025-01-27
ATP,Keshav Chopra,1451.56,90,2026-06-01
ATP,Maxim Shin,1445.33,90,2026-04-27
WTA,Darya Velikova,1416.25,90,2026-06-01
WTA,Jelena Cvijanovic,1371.97,90,2025-10-06
WTA,Doroteja Petrovic,1316.44,90,2025-09-08
ATP,Patrick Schoen,1793.1,89,2024-08-12
WTA,Alexis Blokhina,1780.49,89,2025-11-17
ATP,Steve Johnson,1768.95,89,2024-03-04
WTA,Anne Schaefer,1740.25,89,2025-10-20
ATP,Micah Braswell,1727.79,89,2026-02-02
WTA,Maria Sholokhova,1703.63,89,2026-06-01
ATP,Arda Azkara,1639.03,89,2026-06-01
ATP,Joao Menezes,1617.51,89,2022-06-27
ATP,David Perez Sanz,1604.09,89,2023-04-16
WTA,Chelsea Vanhoutte,1598.19,89,2023-03-27
WTA,Stefanie Voegele,1584.85,89,2025-06-30
WTA,Valerija Kargina,1539.04,89,2024-12-02
WTA,Vanessa Ersoz,1517.55,89,2023-03-06
WTA,Clarissa Blomqvist,1512.61,89,2026-06-01
WTA,Romana Cisovska,1511.48,89,2025-11-10
WTA,Tea Nikcevic,1507.64,89,2026-06-01
WTA,Carolin Raschdorf,1499.33,89,2026-05-25
WTA,Yiming Dang,1497.69,89,2026-05-04
WTA,Alessia Popescu,1491.63,89,2026-01-05
WTA,Shuqian Xu,1484.37,89,2024-01-29
ATP,Arjun Kadhe,1482.73,89,2026-05-25
WTA,Mary Lewis,1479.95,89,2026-02-16
ATP,Diogo Marques,1442.28,89,2025-07-28
WTA,Georgina Hays,1441.46,89,2025-07-21
WTA,Sharmada Balu,1415.74,89,2024-02-26
WTA,Nicole Poj,1352.14,89,2025-09-01
WTA,Maria Garcia Cid,1779.6,88,2026-06-01
ATP,Fernando Verdasco,1663.16,88,2023-06-19
WTA,Shuo Feng,1627.29,88,2025-09-01
ATP,Lorenzo Gagliardo,1587.24,88,2023-04-24
WTA,Sarah Rokusek,1584.88,88,2026-01-12
ATP,John Hallquist Lithen,1583.4,88,2023-06-12
ATP,Tobias Simon,1566.24,88,2022-02-28
WTA,Noel Saidenova,1562.55,88,2023-01-23
WTA,Adriana Rajkovic,1561.37,88,2023-03-06
WTA,Vanda Lukacs,1545.4,88,2023-04-17
ATP,Daniele Rapagnetta,1543.42,88,2026-05-25
WTA,Lavinia Luciano,1542.1,88,2026-05-25
WTA,Maribella Zamarripa,1522.83,88,2025-11-10
ATP,Simon Carr,1522.1,88,2023-02-27
WTA,Victoria Gomez,1518.2,88,2024-04-29
ATP,Guy Den Heijer,1443.62,88,2024-04-01
ATP,Fernando Yamacita,1441.43,88,2024-01-29
WTA,Dariia Monakhova,1426.45,88,2024-03-11
WTA,Alina Michalitsch,1323.53,88,2024-11-04
ATP,Fabio Fognini,1788.69,87,2025-06-16
ATP,Tiago Torres,1758.7,87,2026-05-11
WTA,Misaki Doi,1718.02,87,2023-09-25
ATP,Tai Leonard Sach,1662.07,87,2026-06-01
WTA,Ellie Douglas,1659.4,87,2024-01-01
ATP,Maciej Rajski,1587.68,87,2021-09-13
ATP,Adam Moundir,1580.82,87,2020-03-09
WTA,Zhanel Rustemova,1547.88,87,2024-11-04
ATP,Fernando Cavallo,1536.99,87,2026-05-11
WTA,Junri Namigata,1527.73,87,2026-05-11
ATP,Marc Majdandzic,1521.46,87,2023-07-10
ATP,Adan Freire Da Silva,1489.68,87,2026-05-25
WTA,Helene Pellicano,1473.94,87,2025-03-24
WTA,Luisa Hrda,1466.55,87,2026-05-18
WTA,Viktoria Veleva,1460.16,87,2026-05-04
ATP,Qian Sun,1458.16,87,2026-05-04
ATP,Lukas Palovic,1421.78,87,2023-06-12
ATP,Federico Campana,1410.88,87,2025-05-13
ATP,Siddhant Banthia,1386.8,87,2026-05-25
WTA,Greta Medeghini,1377.35,87,2024-04-22
ATP,Sheng Tang,1376.9,87,2025-05-05
ATP,Leyton Rivera,1369.58,87,2026-05-25
ATP,Toby D Boyer,1313.84,87,2021-09-20
WTA,Katya Ramirez,1235.64,87,2026-03-23
WTA,Vera Zvonareva,1893.45,86,2026-05-18
WTA,Daria Frayman,1785.91,86,2025-03-17
ATP,Max Schoenhaus,1768.66,86,2026-06-01
WTA,Jiayi Wang,1745.12,86,2026-06-01
WTA,Allura Zamarripa,1673.78,86,2026-05-04
ATP,Kenta Miyoshi,1673.66,86,2025-11-10
ATP,Nicolae Frunza,1669.33,86,2022-07-11
ATP,Carlos Maria Zarate,1618.95,86,2026-05-11
WTA,Joanna Zawadzka,1615.9,86,2024-08-19
WTA,Sandy Marti,1602.78,86,2024-08-19
WTA,Gaeul Jang,1601.03,86,2026-05-18
ATP,Tianhui Zhang,1591.9,86,2026-05-04
ATP,Luca Tomasetto,1571.08,86,2024-01-08
WTA,Claudia Ferrer Perez,1545.91,86,2026-05-04
ATP,Marcus Walters,1525.33,86,2026-01-12
WTA,Mariana Drazic,1510.57,86,2024-04-15
WTA,Rhiann Newborn,1492.48,86,2025-08-11
ATP,Yunseok Jang,1480.49,86,2024-04-15
ATP,Alexis Musialek,1472.71,86,2022-04-04
WTA,Victoria Borodulina,1471.69,86,2026-06-01
WTA,Lilian Poling,1467.12,86,2026-05-11
WTA,Mariam Atia,1441.83,86,2026-05-11
WTA,Carolann Delaunay,1430.79,86,2026-05-11
WTA,Paola Lopez,1422.04,86,2026-05-18
ATP,Emil Ruusuvuori,1749.51,85,2025-11-17
WTA,Nada Fouad,1655.35,85,2026-05-18
WTA,Ana Paula Neffa De Los Rios,1589.06,85,2024-04-08
WTA,Candela Vazquez,1587.29,85,2026-01-19
ATP,Guy Orly Iradukunda,1565.53,85,2026-03-09
WTA,Eleanor Baglow,1546.11,85,2023-05-08
ATP,Ruben Bemelmans,1538.74,85,2022-02-14
WTA,Maria Lota Kaul,1515.74,85,2022-08-08
WTA,Kseniya Yersh,1515.49,85,2026-05-18
WTA,Noa Krznaric,1495.7,85,2024-04-22
ATP,Rodrigo Alujas,1475.12,85,2026-04-06
ATP,Finn Bass,1451.98,85,2026-03-23
WTA,Liisa Varul,1451.22,85,2025-05-26
WTA,Nina Ugrelidze,1419.92,85,2024-05-20
ATP,Brandon Walkin,1391.19,85,2026-02-09
WTA,Laalitya Kalluri,1321.33,85,2025-12-29
ATP,Jan Lennard Struff,1849.78,84,2026-05-12
WTA,Daria Egorova,1847.89,84,2026-04-27
WTA,Margaux Maquet,1733.76,84,2026-05-25
WTA,Julia Terziyska,1722.7,84,2024-09-16
ATP,Martin Van Der Meerschen,1642.99,84,2026-05-18
WTA,Talia Neilson Gatenby,1636.14,84,2024-02-26
WTA,Alisa Baranovska,1625.8,84,2025-05-05
ATP,Omar Giacalone,1590.5,84,2022-03-07
ATP,Vito Tonejc,1526.2,84,2026-05-11
ATP,Benjamin Torrealba,1522.53,84,2026-04-13
WTA,Jiayu Xu,1507.99,84,2026-05-18
WTA,Danique Havermans,1489.89,84,2026-05-04
ATP,Jc Aragone,1487.24,84,2022-04-18
ATP,Filip Bergevi,1483.93,84,2023-04-16
ATP,Kai Lemstra,1473.2,84,2022-02-28
ATP,Samuel Heredia,1465.85,84,2026-05-11
WTA,Esther Vyrlan,1461.66,84,2024-10-21
WTA,Riko Kikawada,1432.02,84,2026-05-25
WTA,Naroa Aranzabal,1419.07,84,2024-12-09
WTA,Kolie Allen,1378.29,84,2026-04-27
ATP,Tomas Lanik,1367.71,84,2026-05-25
WTA,Natalia Orlova,1363.63,84,2025-06-09
WTA,Sara Sorribes Tormo,1915.48,83,2026-04-21
WTA,Elizara Yaneva,1874.24,83,2026-04-20
WTA,Monika Kilnarova,1737.88,83,2022-01-17
WTA,Aysegul Mert,1717.12,83,2026-06-01
ATP,Cesar Bouchelaghem,1630.1,83,2026-04-27
ATP,Jeremy Beale,1605.27,83,2022-10-24
WTA,Anastasiya Apalikhina,1580.97,83,2023-04-24
WTA,Melanie Klaffner,1530.38,83,2024-03-25
WTA,Maria Titova,1528.36,83,2025-09-01
ATP,Ioan Alexandru Chirita,1515.06,83,2025-06-30
WTA,Anna Semenova,1485.59,83,2024-02-19
ATP,Yannick Mertens,1484.89,83,2023-01-16
WTA,Louise Brunskog,1476.03,83,2024-05-06
ATP,Lewie Lane,1460.5,83,2024-09-09
WTA,Ranim Rassil,1427.42,83,2025-07-28
WTA,Samantha Imbo Nloga,1330.06,83,2026-03-02
ATP,Issei Okamura,1309.73,83,2023-01-30
WTA,Iva Jovic,1993.72,82,2025-10-06
WTA,Valentina Steiner,1754.88,82,2026-05-17
ATP,Carl Emil Overbeck,1717.17,82,2026-05-18
WTA,Ani Amiraghyan,1672.35,82,2026-03-03
WTA,Anastasiia Grechkina,1665.17,82,2025-06-30
ATP,Patrik Rikl,1640.14,82,2024-06-03
WTA,Rebeka Stolmar,1608.21,82,2023-07-17
WTA,Bibiane Schoofs,1526.07,82,2024-06-10
WTA,Giulia Paterno,1503.92,82,2026-03-09
ATP,Daniel Salazar Martinez,1491.31,82,2026-04-13
ATP,Marco Brugnerotto,1484.95,82,2022-03-07
ATP,Yaojie Zeng,1467.96,82,2026-05-04
ATP,Maxime Hamou,1466.8,82,2021-12-13
WTA,Sarafina Hansen,1459.44,82,2026-05-18
WTA,Tara Malik,1398.03,82,2025-03-24
ATP,Matthew Christopher Romios,1391.36,82,2024-09-09
ATP,Ivan Denisov,1386.15,82,2025-07-21
ATP,Fabio Coelho,1332.28,82,2023-07-31
WTA,Divine Dasam Nweke,1312.72,82,2024-07-01
WTA,Alessandra Crump,1260.39,82,2024-11-18
WTA,Shuai Zhang,1958.22,81,2026-05-17
ATP,Jordan Thompson,1939.14,81,2026-01-05
WTA,Wakana Sonobe,1811.82,81,2025-03-18
WTA,Zarina Diyas,1771.04,81,2025-10-27
WTA,Alize Lim,1649.4,81,2026-03-16
ATP,Nicolas Barrientos,1639.96,81,2026-04-28
WTA,Amelia Waligora,1594.76,81,2024-01-22
ATP,Lukas Lacko,1516.76,81,2022-02-21
WTA,Nino Natsvlishvili,1472.7,81,2023-03-27
WTA,Delia Gaillard,1438.29,81,2026-06-01
WTA,Valentina Gaggini,1429.76,81,2022-05-02
WTA,Kanako Osafune,1423.17,81,2026-05-04
WTA,Sonia Cassani,1410.54,81,2026-05-11
ATP,Patrik Niklas Salminen,1399.91,81,2026-05-25
ATP,Jan Hrazdil,1398.62,81,2025-08-11
ATP,Alexis Canter,1344.92,81,2025-07-07
ATP,Pietro Pampanin,1328.79,81,2025-08-04
ATP,Lorenzo Musetti,1918.94,80,2024-05-13
WTA,Alyssa Ahn,1691.16,80,2025-07-21
ATP,Petr Nouza,1660.89,80,2024-04-29
ATP,Reda Bennani,1642.46,80,2026-05-18
WTA,Emma Davis,1641.96,80,2022-05-02
ATP,Artem Dubrivnyy,1631.19,80,2024-09-16
WTA,Dorka Drahota Szabo,1583.89,80,2023-06-05
WTA,Alexia Iulia Marginean,1579.87,80,2025-07-28
WTA,Anhzelika Isaeva,1579.35,80,2023-08-21
ATP,Juan Ignacio Galarza,1579.07,80,2023-04-24
ATP,Lorenzo Angelini,1554.03,80,2026-05-25
WTA,Katja Markus,1487.1,80,2025-07-07
ATP,Nicolas Villalon Valdes,1466.63,80,2026-06-01
ATP,Nikita Ianin,1464.07,80,2026-06-01
WTA,Lucie Wargnier,1418.83,80,2023-01-23
WTA,Giulia Alessia Monteleone,1241.84,80,2026-05-25
ATP,Rafael Jodar,2033.62,79,2026-01-05
ATP,Pablo Carreno Busta,2007.74,79,2026-05-12
ATP,Joao Fonseca,1986.4,79,2025-04-27
ATP,Laslo Djere,1939.31,79,2026-05-25
WTA,Darya Shauha,1653.27,79,2023-07-10
WTA,Anna Petkovic,1618.83,79,2026-02-23
ATP,Konstantin Kravchuk,1617.32,79,2021-03-08
WTA,Anna Zyryanova,1578.15,79,2025-06-02
ATP,Alejandro Gonzalez,1577.06,79,2022-03-28
ATP,Rafael Izquierdo Luque,1573.45,79,2026-05-25
WTA,Louna Zoppas,1573.43,79,2026-04-13
WTA,Zijun Jiang,1562.09,79,2026-05-11
WTA,Ioana Teodora Sava,1552.12,79,2026-06-01
WTA,Caroline Brack,1485.09,79,2024-02-05
WTA,Fatma Idrizovic,1479.57,79,2024-09-16
WTA,Sonal Patil,1476.99,79,2026-02-02
WTA,Le Yi Liu,1467.27,79,2026-01-05
ATP,Nicolas Ifi,1439.21,79,2026-03-09
ATP,Jeremy Schifris,1432.72,79,2026-06-01
ATP,Philip Florig,1398.52,79,2023-06-19
WTA,Bela Tamhankar,1324.44,79,2026-05-04
WTA,Mia Popovic,1292.81,79,2024-04-01
WTA,Ksenia Meshcheryakova,1219.47,79,2026-05-04
WTA,Reese Brantmeier,1761.34,78,2026-03-17
WTA,Karolina Kozakova,1714.85,78,2024-02-19
WTA,Masha Lazarenko,1671.28,78,2026-05-25
WTA,Duru Soke,1633.28,78,2026-05-25
WTA,Georgia Gulin,1622.19,78,2024-05-06
WTA,Natalia Vikhlyantseva,1613.39,78,2022-07-25
ATP,Daniel Rodrigues,1593.54,78,2023-07-31
WTA,Kamonwan Yodpetch,1587.34,78,2026-05-04
ATP,Lorenzo Sciahbasi,1581.68,78,2026-01-05
ATP,Alan Magadan,1556.1,78,2026-04-20
ATP,Jeremy Gschwendtner,1515.08,78,2026-05-25
ATP,Carles Hernandez,1489.53,78,2025-09-29
WTA,Luciana Blatter,1483.18,78,2026-03-23
ATP,Ali Yazdani,1462.09,78,2026-06-01
ATP,Nikola Basic,1440.91,78,2023-03-20
ATP,Jacopo Bilardo,1430.79,78,2026-05-04
ATP,Menelaos Efstathiou,1430.15,78,2025-11-24
WTA,Indy De Vroome,1423.91,78,2024-02-19
WTA,Aurora Urso,1395.07,78,2026-05-25
WTA,Brittany Collens,1376.85,78,2023-05-08
WTA,Asli Ozcan,1350.12,78,2025-11-03
WTA,Florencia Belen Moron,1345.42,78,2026-01-19
ATP,Charlie Camus,1341.91,78,2024-12-30
WTA,Victoria Lazarova,1272.0,78,2025-12-01
WTA,Beatrice Laura Pirtac,1162.91,78,2024-09-02
WTA,Anna Kalinskaya,1850.9,77,2025-06-16
ATP,Jack Sock,1789.67,77,2023-01-30
ATP,Juan Ignacio Londero,1667.14,77,2024-11-25
ATP,Jack Anthrop,1641.83,77,2025-09-15
ATP,Filip Pieczonka,1611.5,77,2026-03-16
WTA,Asylzhan Arystanbekova,1599.77,77,2026-05-25
ATP,Palaphoom Kovapitukted,1586.89,77,2023-01-09
ATP,Naoya Honda,1561.46,77,2026-06-01
WTA,Savanna Ly Nguyen,1550.69,77,2024-01-15
WTA,Camilla Bossi,1541.49,77,2025-05-12
WTA,Olivia Bergler,1523.54,77,2025-06-30
ATP,Bogdan Pavel,1503.47,77,2025-07-28
ATP,Leonardo Malgaroli,1464.26,77,2025-11-17
WTA,Lina Soussi,1292.35,77,2025-12-01
ATP,Federico Delbonis,1781.04,76,2023-06-19
WTA,Shilin Xu,1773.54,76,2026-02-16
WTA,Maegan Manasse,1763.09,76,2024-02-05
ATP,Trevor Svajda,1754.95,76,2026-06-01
WTA,Hannah Klugman,1735.82,76,2026-06-01
ATP,Peter Makk,1691.99,76,2026-05-25
ATP,Izan Almazan Valiente,1673.11,76,2026-03-30
WTA,Ema Burgic,1633.91,76,2026-05-04
ATP,Jakob Schnaitter,1594.21,76,2024-04-08
WTA,Patricia Georgiana Goina,1539.45,76,2026-05-25
WTA,Panna Bartha,1537.73,76,2026-05-25
WTA,Anet Angelika Koskel,1490.44,76,2025-08-04
WTA,Sophie Luescher,1488.43,76,2026-04-27
WTA,Aubane Droguet,1481.81,76,2025-09-22
ATP,Jonas Trinker,1466.06,76,2023-07-10
WTA,Ke Ren,1441.35,76,2026-05-18
ATP,Matteo Covato,1333.13,76,2026-05-04
WTA,Marika Jones,1316.08,76,2025-11-03
WTA,Irina Camelia Begu,1962.81,75,2026-05-05
WTA,Daria Saville,1854.62,75,2025-08-25
WTA,Vera Lapko,1763.84,75,2023-03-06
WTA,Guillermina Naya,1731.78,75,2023-08-21
ATP,Gabriel Ghetu,1714.13,75,2026-03-30
WTA,Martina Caregaro,1682.77,75,2023-05-15
WTA,Sofia Elena Cabezas Dominguez,1666.38,75,2026-02-16
ATP,Mario Vilella Martinez,1665.21,75,2022-03-28
WTA,Shalimar Talbi,1652.44,75,2022-01-24
WTA,Miharu Imanishi,1634.35,75,2022-01-17
ATP,Albert Pedrico Kravtsov,1629.89,75,2025-09-08
WTA,Maria Gabriela Rivera Corado,1609.12,75,2026-03-30
WTA,Karine Sarkisova,1604.38,75,2026-05-04
WTA,Alexis Nguyen,1587.01,75,2026-05-25
ATP,Mikael Torpegaard,1562.35,75,2022-02-14
WTA,Esther Bataille,1548.62,75,2023-04-17
WTA,Coco Bosman,1541.68,75,2026-05-04
ATP,Kareem Allaf,1495.88,75,2023-02-13
WTA,Kaat Coppez,1493.86,75,2026-05-25
ATP,Vuk Radjenovic,1489.65,75,2026-05-25
